1,1,6,0,1,6,0,1,0,6,6,1,6,1,0,0,0,6,1
3,3,6,2,3,6,6,3,2,6,6,0,6,3,2,1,1,6,3
5,5,6,2,5,6,6,5,2,6,6,6,6,5,4,2,2,6,5
0,6,6,4,0,6,6,6,2,6,6,6,6,0,2,2,2,6,0
2,6,0,4,2,7,6,6,2,1,7,6,7,2,4,2,4,1,2
2,6,1,2,2,0,7,6,4,3,1,6,1,2,2,2,4,3,2
2,6,3,2,2,2,1,6,4,5,3,7,3,2,4,4,2,5,2
2,7,5,4,2,2,3,0,4,0,5,2,5,2,2,4,4,0,2
4,0,2,4,4,2,5,2,4,2,0,2,0,4,4,4,2,2,4
4,2,2,1,4,2,2,2,1,2,2,2,2,4,1,4,4,2,4
4,2,2,3,4,4,2,2,3,2,2,2,2,4,3,3,3,2,4
4,2,2,5,4,4,2,2,5,2,2,3,2,4,5,5,5,2,4
6,2,4,6,6,4,2,4,6,4,2,5,2,6,6,6,6,4,6
6,4,4,6,6,4,4,4,6,4,4,4,4,6,6,6,6,4,6
6,4,4,6,6,1,4,4,6,4,4,4,4,6,6,6,6,4,6
6,4,4,6,6,3,4,4,6,4,4,4,4,6,6,6,6,4,6
7,4,7,7,7,5,4,7,7,7,4,4,4,7,7,7,7,7,7
