3.580823697402507610e-01 5.401415861476498437e-01 3.502891163437021338e-01 2.800208790474066969e-02 6.755945144664902147e-01 1.046677897054161185e-02
2.465404284457445860e-01 1.842331968703850575e-01 7.581251451658786722e-02 9.385823966515066674e-01 5.904906164142915276e-02 1.229011878321741580e-01
4.111744094228778068e-01 3.657653800661694876e-02 5.144169790743277071e-01 1.284560206784763833e-02 7.386294267638940925e-01 1.386884781414675916e-01
6.739681060679093838e-02 3.973833785329008439e-01 1.531536810099902168e-01 7.603883585511540810e-02 8.813502537491250122e-01 1.775609642828387125e-01
6.807698155725766531e-01 1.756721877416146660e-01 5.766241381042370301e-02 6.313534217997790465e-01 3.185284020708504249e-01 4.795102239589262710e-02
2.181553068463219225e-01 2.003496327561587187e-01 4.624367085622488327e-01 8.621741923199569002e-02 8.277174616858077316e-01 7.662204359550117694e-02
6.267029407022152165e-01 2.987775577947144878e-01 6.020329063115161805e-01 4.881786760242239759e-02 3.779208363347138500e-01 1.016092124679338904e-01
7.227298833143695755e-02 2.671166060744488424e-02 7.505704061094223833e-01 6.235121309950638624e-01 7.669282729880760874e-02 1.898894429948198570e-01
1.382480298294274344e-02 5.045777093589669526e-01 6.970885711374054383e-02 1.820156774568665869e-01 8.330442200125763863e-01 1.151455858641268620e-01
1.617984027522969270e-01 6.472474561557484130e-02 4.692571756470086397e-01 7.888805445003767014e-01 3.391362936267069417e-01 1.099261030398442779e-01
6.450018821739984531e-01 5.322462281330386791e-02 1.532351362580793852e-01 4.097035820617137350e-03 7.467364930101400011e-01 5.150615375913689814e-03
2.252760677071353329e-02 1.648373334564447179e-01 6.840044757760961325e-01 5.109060276122535660e-01 4.931420772586522783e-01 1.565120241097253673e-02
1.458023597894892165e-01 9.104162813031599355e-02 7.023796491946204812e-01 1.039240034674417668e-01 1.217748575034541397e-01 6.719275316637592921e-01
2.865799070115791491e-01 6.029301580617024703e-01 6.779998384463650218e-01 2.601847672992383953e-01 1.629625404883529860e-01 2.026074348713184300e-02
1.537430141308544773e-01 2.665337409365950427e-01 8.916789317339687132e-03 4.912184383788040787e-01 8.138236378279541938e-01 4.048300539409152576e-02
7.144349152247234658e-01 1.733443337201536621e-02 3.613269631770734680e-01 4.821047005253538235e-03 1.864397818510148477e-02 5.986269744940950766e-01
5.675038393432973310e-02 6.322168507210190747e-01 2.212353774450681321e-01 3.071722968415290800e-01 6.736323849406359310e-01 8.633462408661956656e-04
6.242746737302411891e-02 1.625340548788720488e-02 7.180601610240959776e-01 5.570290290800574695e-01 4.081602104656417151e-01 5.789772562248775983e-02
4.103647042908919462e-01 2.226521701714313448e-02 1.623210673737523341e-02 9.103084719896396004e-01 5.477793969880670466e-03 4.636882456355633647e-02
